dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,AuriStream-MTP 7B 40Pred,5,0.0520833333333333,0.068767702548672,0.0222965074527625,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,6,0.0625,0.0713117743984828,0.0221136125396333,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,7,0.0729166666666666,0.0758523921413287,0.0234223510596683,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,8,0.0833333333333333,0.0793184462221038,0.0240858937076315,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,9,0.09375,0.0852600226955452,0.0226165494403462,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,10,0.1041666666666666,0.0897472970838687,0.0223412013405015,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,11,0.1145833333333333,0.0885764472432505,0.0227318908042287,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,12,0.125,0.0839887152156207,0.0234113095198656,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,13,0.1354166666666666,0.0810173537855874,0.0236953619850961,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,14,0.1458333333333333,0.081319502153273,0.0232004579201014,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,15,0.15625,0.0771066822892086,0.0244271546375482,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,16,0.1666666666666666,0.0772653064115043,0.0238121591052575,8,mean participant-level r_cv_norm in language fROIs
